,Type,Publication,Text,Type and Publication,Text Length
58,Real,The Sun,"BORIS Johnson jetted to New York last night in a bid to restart UK-US travel. There are hopes America will reopen its border to Brits  after the PM meets President Joe Biden at the White House on Tuesday. Mr Johnson will also join more than 100 world leaders at the UN — the last gathering before November's landmark Cop26 summit in Glasgow. He will urge them to step up on climate change in the last 50 days before November's get-together. And he will announce an additional £500million of UK funding to help poorer countries move away from coal. Mr Johnson said he would push the leaders to take ""concrete action on coal, climate, cars and trees"". It is still not known whether Chinese president Xi Jinping will attend Cop26, although a delegation from the globe's most polluting nation will be there. Cop26 President Alok Sharma said: ""I'm hopeful he will come."" It is thought that Mr Johnson will make an ""impassioned"" case to the US President, over why he should lift the travel ban. This could mean that fully vaccinated people in the UK may be able to travel directly into America after Mr Biden's failure to ease restrictions. Both leaders pledged to take action when they met at the G7 summit in June, however nothing has yet been done about the situation. Boris has landed in New York on Sunday to kick start his US visit, which will be four days long. He will also be attending the UN General Assembly before his first White House trip since entering Number 10 in July 2019. It comes after the UK and US signed a defence pact with Australia, including the deployment of defence-powered submarines in the Indo-Pacific. Usually more than four million Brits fly to America in a normal year, but due to the borders being closed during the pandemic only a fraction of those trips are taking place. Under the tight Biden administration rules only US citizens and residents can travel from scores of countries, including the UK, most of Europe and Canada, into America.",Real Sun,346.0
59,Real,The Sun,"BORIS Johnson last night told Emmanuel Macron to chill out after the French lost billions in the Aussie subs row. A defiant PM said Britain's relationship with France is ""ineradicable"" despite the raging French branding him a ""lap dog"" to America. BoJo moved to soothe the explosive diplomatic spat after Paris was left massively out of pocket by a new defence pact forged between the UK, US and Australia - dubbed AUKUS. France had been due to sell the Aussies £47 billion worth of diesel powered subs - but the Australian government dramatically ripped up the contract last week in favour of nuclear boats from Britain and America. President Macron threw such a big hissy fit in response that he cut off diplomatic ties with Washington and Canberra, while his ministers went on the onslaught against Britain. But despite their rage, the PM said: ""I don't think anyone needs to worry… particularly not our French friends."" His comments came as Paris government figures queued up to slam the PM for ""stabbing an ally in the back."" French foreign minister Jean-Yves Le Drian - who will have face to face talks with the UK in at the United Nations General Assembly in New York this week - accused BoJo of ""permanent opportunism"". Meanwhile gobby French Europe Minister Clement Beune whined: ""Our British friends explained to us they were leaving the EU to create Global Britain. We can see that this is a return into the American lap and form of accepted vacillation."" But quizzed on his way to the UN in New York, the PM laughed off the barrage of insults. He told The Sun: ""We are very, very proud of our relationship with France and it is of huge importance to this country. ""It is a very friendly relationship - and entente cordial - that goes back a century or more and it absolutely vital for us. And he added: ""Our love of France is ineradicable and what I would say is this AUKUS deal.. it is not meant to be exclusionary, it is not something I don't think anyone needs to worry about and particularly not our French friends."" But the PM could not resist teasing the French, citing their comic book legend Asterix as proof of the bond shared between the two nations. He told reporters on board the RAF Voyager flying to the UN in New York: ""I don't know how many of you know this but there is a UK/France nuclear simulated testing programme we have: we test nuclear explosions together. ""Well we simulate the testing of nuclear explosions together I should add we don't actually blow anything up! ""It's called the Teutates T-E-U-T-A-T-E-S which I think is the Gaulish god of thunder, from my studies of Asterix. But I might be wrong about that - you might want to look that up? ""Anyway, so this is something that goes very, very deep; our love of France, our admiration of France is ineradicable.""",Real Sun,496.0
60,Real,The Sun,"BORIS Johnson has admitted there is only a sixty per cent chance he will hit a landmark climate change goal. The PM touched down in New York last night to crack the whip on a global green deal at the UK hosted Cop26 in November. But he said there was only a ""6 out of ten"" chance he would be able to shake the tin enough to meet his £100Billion pledge to help poorer nations make the switch to clean energy. Today the PM will join more than 100 world leaders at the United Nations General Assembly - the last such big gathering before the critical climate summit in Glasgow. Global leaders have already agreed that there is a £100Billion price tag to wean the poorest nations off of dirty polluting fossil fuels; but there are fears the money actually pledged by rich nations will full far short of that total. As well as pressing the flesh, Mr Johnson will use a major speech on Thursday his fellow leaders to cough up in the last 50 days before November's get together. Last night BoJo said: ""Some countries are really stepping up to the plate, others, some G20 countries, need to do much more. We'll be making that argument and set that out strongly in the next few days. But quizzed while in the air last night at his chances of success, Mr Johnson said: ""I think getting it all this week is going to be a stretch."" And he said was only sixty per cent sure it could be done before the historic meeting in Scotland in two month's time. Flanked at the UN Foreign Secretary Liz Truss and Cop26 President Alok Sharma, the PM will unveil an additional half a billion of UK taxpayer cash toward the goal. He added: ""Richer nations have reaped the benefits of untrammelled pollution for generations, often at the expense of developing countries. ""As those countries now try to grow their economies in a clean, green and sustainable way we have a duty to support them in doing so – with our technology, with our expertise and with the money we have promised."" Ahead of the visit, Mr Johnson said he would be pushing world leaders in New York to take ""concrete action on coal, climate, cars and trees"". He will also meet tech billionaire Jeff Bezos on the fringes of the United Nations General Assembly - with the PM last night vowing he will tackle the Amazon boss over their low UK tax bills and poor working conditions. Following a day at the UN, Mr Johnson will head to Washington DC for his first trip to the White House as PM. As Europe reels from the new UK and US's new defence deal with Australia, Mr Johnson is expected to hail a new pact as a key win for post-Brexit Britain. He will also hope to kickstart stalled talks on UK/US travel and trade deal between the two nations. The PM will push for talks to speed up when meeting a number of senior figures from across the political divide in Washington. Britain has allowed US citizens who are double jabbed to visit the UK since June, but the US are yet to return the favour. High on the agenda will be the messy departure from Afghanistan, after the White House refusal to delay the pull out of Kabul meant thousands were left behind to the Taliban.",Real Sun,574.0
61,Real,The Sun,"BORIS Johnson axed a slew of white men from the lower ministerial ranks on day two of his sweeping reshuffle — to promote rising-star women. Living up to a promise to do more for government gender balance, the PM fuelled speculation of an early election by adding fresh female talent to his team. Lucy Frazer, and Helen Whately were promoted to powerful roles at the Treasury. And anti-woke warrior Kemi Badenoch was handed the key position as Michael Gove's deputy in charge of levelling up. Brexiteer Penny Mordaunt is the new No2 at the Trade Department and Gillian Keegan gets a top job at Health. Old-guard ministers John Whittingdale, Nick Gibb and James Duddridge were sacked along with Luke Hall, Justin Tomlinson and Matt Warman. But in a surprise move, Mr Johnson also axed Jesse Norman, an old school friend and husband of the vaccine tsar Kate Bingham. Tory MPs have seen Mr Johnson's shakeup as getting the government ""match fit"" for a possible early poll in as soon as 2023. Cabinet ministers think he could secure at least SEVEN more years in power after strong local election results in May and signs the economic recovery is speedier than first thought. One senior Minister said the next election ""will be sooner rather than later"" after No10 changed the law to allow them to call a General Election whenever they want. Last night senior Tories played down the idea of an early traipse to the ballot boxes, but admitted ""all options will are kept open.""",Real Sun,254.0
62,Real,The Sun,"NEW Culture Secretary Nadine Dorries will stop ""crackpot"" woke art projects being funded by taxpayers, a top Tory declared yesterday. Lefties slated her promotion to the Cabinet in Boris Johnson's reshuffle, as she is highly critical of the BBC and ""snowflakes"". She has called the BBC left-wing, hypocritical and patronising and has attacked woke culture for years. But Cabinet colleagues leapt to the defence of the I'm a Celebrity contestant and best-selling author. They said she will bring realism to the key role overseeing the UK's arts, TV and sport sectors. Defence Secretary Ben Wallace said: ""She's sold thousands and thousands of books and now if that isn't part of culture, media and sport I don't know what is. ""What's great about Nadine Dorries is she produces culture that people buy and actually want to see rather than some of the more crackpot schemes we've seen being funded in the past by taxpayers' money."" Ms Dorries, the MP for Mid Bedfordshire, has written a dozen bestsellers and made an infamous appearance in the ITV jungle in 2012, which temporarily saw her suspended from the Conservative Party. She was readmitted in 2013 and, after backing Mr Johnson to be PM, was made a health minister in 2019. But it was the 64-year-old's elevation to the top table that angered critics. The New York Times' European culture editor Matthew Anderson said: ""Germany's culture minister is a trained art historian; France's wrote a book on Verdi. The new UK culture secretary . . . ate ostrich anus on I'm a Celebrity, Get Me Out of Here."" Last night Downing Street backed Mr Wallace's claim, saying it was vital that all government departments sought the best possible value for taxpayers' money on any funding given out.",Real Sun,288.0
63,Real,The Sun,"ALL over-50s will be offered a booster jab by Christmas as part of a Covid winter plan, PM Boris Johnson will announce today. Ministers have also approved the offer of single jabs for 12 to 15-year-olds, triggering a row over consent. They hope the additional kids' rollout will slash transmission rates in schools and prevent any further closures in the colder months ahead. Chief medical officer Prof Chris Whitty said last night it will ""reduce"" the risks of shutting classes in the event of a surge in cases, but will ""not eliminate"" the possibility. He added: ""We think it's an important and useful additional tool to reduce the public health impacts that come through educational disruption."" Currently only over-16s are being jabbed but there has been widespread pressure to extend the rollout. Meanwhile, the decision to give boosters to over-50s ends months of deliberation by experts. Scientists deemed one additional dose of Pfizer is the most effective booster — regardless of what people had in their two shots. The Covid winter plan, which attempts to avoid another national lockdown, will be published today. Mr Johnson said ahead of its launch: ""The pandemic is far from over. ""But thanks to our phenomenal vaccine programme, new treatments and testing we are able to live with the virus without significant restrictions on our freedoms. ""Today I will set out a clear plan for the autumn and winter, when the virus has a natural advantage, to protect the gains we have made."" Prof Whitty added: ""Anybody who believes the big risk of Covid is all in the past . . . has not understood where we are going to head as we go into autumn and winter, where there will continue to be challenges and pressure on the NHS."" For older Brits the booster rollout will begin within days, starting with the over-80s and the clinically vulnerable. Prof Whitty insisted there was enough Pfizer to go around for old and young. There were also ""no plans"" yet to jab the under-12s.",Real Sun,333.0
64,Real,The Sun,"JABS for younger kids finally got the go-ahead last night — risking a battle between them and parents over consent. Children between 12 and 15 will be able to overrule mums and dads and choose whether or not to get vaccinated. But experts said kids faced being bullied and stigmatised in the playground for refusing the jab. And angry teachers and MPs demanded clearer guidance from PM Boris Johnson and his ministers. More than three million younger teens could start receiving Pfizer doses within days after Chief Medical Officer Chris Whitty said the ""difficult decision"" had been made to expand the rollout. Despite the US, Israel and several European countries soaring ahead of Britain's trailblazing jabs head-start, Professor Whitty said he had wanted time to assess as much of the evidence as possible before making a decision. Health chiefs said the decision was about ""balancing risk and benefits"" of the effect on kids missing more school. Prof Whitty added he was not saying children must get the jab, but there were benefits to them doing so, including protecting their mental health and stopping them missing more classes. Long-standing law in England and Wales means kids under 16 can make the case for why they should have certain medical procedures against their parents' wishes. Dubbed ""Gillick competence"", it means children can get vaccines or medicine if they can prove they fully understand the risks and are making a consenting choice. But ex-health minister Steve Brine said he was ""very concerned"", adding: ""I don't really want to set up a situation whereby we're setting up an argument — potentially a legal argument between children and their parents as to whether they should be allowed to have this vaccination."" He continued: ""Somebody emailed me this weekend saying they have to sign a consent form for teachers to put sun cream on their child. ""But now, apparently, it's going to be OK for the child to decide to have a vaccine of a very, very new drug — not something that's been around for 20 or 30 years like some of the other immunisations that we give to our children."" And Professor Simon Clarke, from Reading University, warned that giving youngsters the final say could lead to children being bullied by their peers into taking the jab. He said: ""You may end up in a situation where a minority, probably the unvaccinated, will get bullied and excluded by other children."" Dr Liz Whittaker, a children's doctor at St Mary's Hospital in West London, said: ""Under no circumstances should those young people who choose not to have the vaccine be stigmatised. ""It should not be a limiting factor for school access, extracurricular activities or school trips."" One doctor argued against the decision to even allow jabs for children. GP Renee Hoenderkamp said: ""The vaccine achieves nothing. ""Kids can still catch and transmit Covid and will get sent home when they do."" But Professor Whitty threw his weight behind kids to make their own decisions — while echoing warnings there was a risk of them being bullied in class by others who don't share their views. He insisted: ""I would not underestimate the ability of children and young people to understand important issues that affect them directly. I think it is easy to do so."" However, he added: ""It is very important there is no stigmatisation, either for accepting or not accepting vaccinations — this is critical."" He said that in the ""great majority of cases, children and parents come to the same decision"", but accepted that there was ""some debate"" about what to do if there was a family clash. Meanwhile, head teachers' union boss Geoff Barton warned his members had been threatened as the debate over jabs for kids raged. He said: ""Many have been receiving letters from various pressure groups, threatening schools and colleges with legal action if they take part in any Covid vaccination programme. ""This is extremely unhelpful and we'd ask those involved to stop attempting to exert pressure on schools and colleges. ""The question of whether or not to offer vaccinations to this age group has been thoroughly considered and the decision on whether or not to accept this offer is a matter for families."" Office for National Statistics data indicates that most parents would be likely to accept a Covid vaccine for their child. Around 86 per cent reported they would definitely, or probably, say yes. In comparison, six per cent of secondary school parents said they would definitely not want their child to have a vaccine.",Real Sun,758.0
65,Real,The Sun,"PRITI Patel was last night branded ""reckless"" and a ""serial offender"" over claims held a secret meeting with a billionaire Tory donor and British Airways. The Home Secretary was sacked in 2018 as Aid Secretary after holding undeclared meetings with the Israeli government - without any officials present. The Sunday Mirror reported that Priti Patel arranged a meeting on August 11 at Heathrow Airport's Hilton Garden Inn, which is part of a chain owned by Tory donor Surinder Arora. Mr Arora was joined by his son and Arora strategy director, Sanjay; Arora chief financial officer Carlton Brown; the chief executive of Dubai Airports Paul Griffiths; and BA corporate affairs director Lisa Tremble. But the rulebook for ministers is clear: ""A private secretary or official should be present for all discussions relating to Government business. ""If a minister meets an external organisation or individual and finds themselves discussing official business without an official present - for example at a social occasion or on holiday - any significant content should be passed back to the department as soon as possible after the event."" A spokesman for the Home Secretary said: ""Details of all the Home Secretary's relevant external meetings will be published in the usual way in accordance with the ministerial code."" It is understood that the Home Secretary considered it a private meeting and that the lunch was declared to her private office. But Labour hit back: ""This secret lobbying lunch would break the rules three times over. She has serious questions to answer and must be investigated by the Cabinet Secretary immediately."" Nick Thomas-Symonds, Labour's shadow home secretary, added: ""The Home Secretary is so reckless about her duties that it seems she takes part in meetings behind closed doors and without an official present."" Business Secretary Kwasi Kwarteng was also at the meeting without anyone from his department. The Sunday Mirror reported that he attended in his role as a local MP as Heathrow borders his Spelthorne constituency. Mr Arora said ""I've known Kwasi and Priti for years. I said pop in and have lunch and see my new hotel. ""I don't do politics. I don't support anyone. There wasn't any agenda. ""On Sunday, Health Secretary Sajid Javid said his Cabinet colleague was doing ""really well"". Amid criticism of the Home Secretary's performance, Mr Javid said on Trevor Phillips On Sunday on Sky News: ""It's a really tough job, and she's doing really well.""",Real Sun,404.0
66,Real,The Sun,"TORY big-hitters have told Boris Johnson he risks election disaster with his raid on workers' wages to plug the NHS black hole. They say voters must see the benefits of the National Insurance (NI) rise very quickly or they will desert the party. Millionaire donor Lord Ashcroft said: ""Boris Johnson is acting like a crazed Formula 1 racer with a magnum of Moët & Chandon, showering the health service with cash that risks being sprayed up the wall. ""Let us hope health chiefs use this bonanza wisely — or it will not just be patients who will die unnecessarily, but the Conservative Party's chances of re-election."" Hedge fund boss Crispin Odey said Covid set governments free to spend, adding: ""No one is better at spending than Mr Johnson. They've got the ideal drunken captain."" Their comments, backed by a slew of backbenchers, come as the PM faces a tough Tuesday forcing the tax rise law through the Commons in a single day. His party whips are hoping to whittle down the size of any rebellion after two dozen Tories refused to back his NI proposals in a Commons vote last Wednesday. His opponents also see a chance to oust marginal seat Tory MPs who voted for the rise. The Lib Dems have drawn up a hit list of 20 they think are vulnerable. But Health Secretary Sajid Javid defended the rise, insisting: ""I want that waiting list to be tackled."" MPs also fear town halls will raise bills to pay for social care as the NHS will soak up most of the new cash, meaning a tax double whammy for millions.",Real Sun,271.0
67,Real,The Sun,"BORIS Johnson will unveil his Winter Plan to avoid a Christmas lockdown tomorrow — with booster jabs for the over-50s at its core. The Sun can reveal third doses are to be rolled out in a similar way to the first vaccine drive, starting with the most elderly and vulnerable. As the vaccines are taken up they will then be offered to younger and younger age groups. The PM is pinning his hopes on avoiding widespread disruption this winter with top-up jabs and a massive flu shot blitz backed by a giant ad campaign urging people to get the double protection. If that does not work and the NHS starts coming under too much pressure, vaccine passports, more indoor masks and interventions such as working from home will have to return. Health Secretary Sajid Javid also suggested to Times Radio yesterday that ministers were considering giving children just one shot of the vaccine as part of a rollout to 12 to 15-year-olds. But he promised everything will be done to avoid another shutdown of the economy. He added: ""Of course we get Christmas. I'm not anticipating any more lockdowns. I just don't see how we get to another lockdown."" He also revealed that ministers have bowed to Tory pressure and ditched a plan for vaccine passports for clubs and stadiums at the end of this month. Mr Johnson had vowed to make jabs compulsory for big venues from the end of September, but climbed down after a major backlash from his own party. Opinion in Westminster was split over whether Mr Johnson was simply using the passports as a threat to get more people to take up the vaccine — or whether he had been warned he may not have the votes to pass them into law. In a morning of mixed messages, the Health Secretary first said no final decision had been made on Covid passports for clubbers — before confirming they would not go ahead just one hour later. Half an hour after that, Mr Javid said they would be kept under review, adding: ""What I can say is that we've looked at it properly and whilst we should keep it in reserve as a potential option, I'm pleased to say that we will not be going ahead with plans for vaccine passports."" A lot of these powers can go and we should dispose of them, but some of them are necessary to keep, such as requiring people to self-isolate if they test positive He also confirmed that some measures — such as the ability to shut workplaces and schools — will be stripped from Covid Emergency laws, but others will be rolled over for another six months. He told the BBC: ""A lot of these powers can go and we should dispose of them, but some of them are necessary to keep, such as requiring people to self-isolate if they test positive — we will keep that power."" Mr Johnson will unveil the package at a press conference tomorrow before trying to shoehorn his new health tax through the Commons the same day. There is also mounting speculation he will reshuffle his Cabinet as soon as Wednesday, before the Commons rises for the annual party conference season and Mr Johnson heads away on international travel. Last night the U-turn on vaccine passports for venues was welcomed by the hospitality industry. The co-founder of Parklife Festival, Sacha Lord, who is also night time economy adviser for Greater Manchester, said: ""The plans were untenable and illogical and there were multiple factors which would have been discriminatory and legally questionable. Today's announcement is not something to celebrate, it's merely common sense returning and I thank all those that campaigned against them. ""As a sector, we can now move forward, without hesitation or vague regulations."" Adam Brooks, landlord of the Three Colts pub in Buckhurst Hill, Essex, told The Sun: ""Since Boris threatened vaccine passports I have hardly slept with worry — worry over my industry. ""It's businesses and it's jobs. I was fearful for my kids and the possibility of an authoritarian future. ""Today's announcement is not something to celebrate, it's merely common sense returning and I thank all those that campaigned against them."" But asked whether ministers were removing too many measures designed to keep the public safe, he said the Government should not be introducing coronavirus rules ""just for the sake of it"".",Real Sun,735.0
68,Real,The Sun,"A LETTER sent from Parliament to a prison inmate sparked a Class-A drugs probe when it was found to contain traces of ecstasy. Jail bosses have launched an investigation after the reply to the lag fell foul of sophisticated drug screening equipment and was not passed on. When the letter — written on House of Commons headed note-paper — arrived at the jail, it was found to have been exposed to a significant amount of ecstasy powder MDMA. Further investigation showed the envelope and letter, franked with the postmark of the House of Commons, contained traces of the drug, it was revealed last night. A prison source said: ""It was a very odd case but someone who has handled the letter somewhere along the line could have had enough on their hands for our scanners to pick up."" The letter was sent by a junior official in the Palace of Westminster on March 22 to HMP Coldingley in Surrey. The inmate had requested information from the Commons' library, which holds statistics and reports about parliamentary matters. This evening prison bosses confirmed to The Sun that they had launched a formal investigation. And the prison's guards have also raised the issue directly with the Ministry of Justice. The Prison Service said: ""Diligent security staff at HMP Coldingley stopped a suspicious letter reaching a prisoner. An investigation is under way."" House of Commons authorities have refused to comment. There are more than 3,000 pass-holders with access to the Parliamentary estate. It has its own internal post offices and mail service to support millions of letters sent to and from MPs every year. HMP Coldingley is a Category C men's prison.",Real Sun,278.0
69,Real,The Sun,"SIR Keir Starmer tried desperately to stop Brexit by forcing a second referendum. The now-Labour leader repeatedly blocked his party from supporting a compromise that would have got us out of the EU quicker, No10 aide Gavin Barwell claims. His stance collapsed cross-party talks and was allegedly a ""colossal misjudgment"" that triggered Labour's catastrophic 2019 election defeat. Sir Keir, tasked with his party's Brexit strategy, even attacked proposals that he himself had put forward. Former PM Theresa May was so desperate to get any form of Brexit deal through parliament the dying days of her premiership, that she threw open her negotiation strategy to the Labour Party. Barwell says of a compromise deal to break the bitter Brexit deadlock in spring 2019: ""Jeremy Corbyn wanted to do it, but Keir Starmer stopped it. ""It seems fitting that he's now dealing with the consequences."" He adds: ""Starmer was not prepared to settle for anything that didn't include a confirmatory vote"".",Real Sun,159.0
70,Real,The Sun,"SENIOR Tory Gavin Williamson vowed to unleash ""the world's biggest s**tshow"" on the Government, a new book claims. He allegedly made the threat while fighting for his job as Defence Secretary in 2019. The book says Mr Williamson warned then PM Theresa May he would not go quietly if she fired him. But he was given the chop after being accused of leaking state secrets — a claim he has always denied. The punchy memoir from ex-No10 chief of staff Gavin Barwell comes after a bruising week for Mr Williamson, who is widely tipped also to be sacked from his current role as Education Secretary. He was dubbed ""gaffe-a-day-Gav"" after blundering into a race storm by confusing footballer Marcus Rashford for rugby ace Maro Itoje. He has also faced flak over schools and exams chaos. In his book ""Chief of Staff — notes from No10"" — published next week, Mr Barwell says: ""Having set out why he felt he was being badly treated, Gavin moved on to threats. If the Prime Minister tried to get rid of him, there would be the world's biggest s**show. ""If we thought he was the kind of person who would take the blame for something he hadn't done, we were misjudging his personality. ""And if the Prime Minister tried to get rid of him, there would be the world's biggest s***show."" He adds that Mrs May regretted hiring Williamson and that ""Boris Johnson chose to bring him back as Education Secretary, and he has struggled in that role, too."" Last night an ally of Mr Williamson said his recollection of events differed from Mr Barwell's.",Real Sun,271.0
71,Real,The Sun,"BORIS Johnson will next week unveil a ""toolbox"" of contingency measures to see off a winter lockdown and keep Britain open, The Sun can reveal. Ministers will give the go-ahead to vaccine booster shots, Covid passports for clubs and stadiums and the biggest flu jab rollout in history to ease pressure on the NHS. An advertising blitz will urge the most vulnerable to get a third Covid jab and a flu shot to try to stop hospitals being overwhelmed if cases keep rising. The PM is privately vowing another lockdown is out of the question and has ordered the Government to do everything possible to avoid future restrictions. He will stress it is time to ""learn to live with Covid forever"" but wants to see the hated Coronavirus Act 2020 renewed as a precaution. The emergency powers within it expire at the end of this month, so the PM will force a vote on extending them for another six months. Dozens of Tory MPs are opposed to the move, with one MP branding renewals a ""tyranny"". Allies of the PM say the jabs rollout means this winter will be ""different"" but ministers refuse to rule out a return to some restrictions if the NHS looks under stress. It is hoped the double shot whammy will keep pressure on the health service to within seasonal norms — despite hospital admissions steadily ticking up Figures published last night reveal that 8,085 Brits are in hospital with Covid — a six-month high. The number has gone up by six per cent in a week and is at its highest since early March. However, it is still well below the second peak in January when 39,254 were in hospital — the most since the pandemic began. Hospital numbers have been rising slowly since the third wave of the virus began in May. A key ally of the PM told The Sun last night: ""The strength of our vaccination programme has changed how we tackle and live with this virus. ""It's going to be different this year. ""We will have the booster programme to give the most vulnerable an extra shot of protection and the highest number of people yet will be offered a flu jab."" Yesterday Health Secretary Sajid Javid said he felt sure the vaccine booster programme would start before the end of this month. The Medicines and Healthcare products Regulatory Agency (MHRA) has said the Pfizer and AstraZeneca jabs are safe to use as boosters. The Joint Committee on Vaccination and Immunisation (JCVI) has yet to give its advice to ministers. Mr Javid said yesterday: ""We are heading towards our booster programme, so the news from the MHRA today is welcome. ""But also I want to wait for the final opinion of the JCVI. I'm confident our booster programme will start later this month but I'm still awaiting the final advice."" Leading lockdown sceptic Sir Iain Duncan Smith warned that the economy would ""drop to the levels of the Third World"" if the UK is forced into a third lockdown. He told The Sun: ""The only 'toolbox' we need is a crystal clear commitment never to shut down this country again. ""Boris promised we are on a road out and there can be no turning back. ""Unless the toolbox means no lockdowns ever again, frankly the Government will be a box of tools."" Meanwhile, ministers said last night that NHS staff could be assigned office jobs if they refuse to get a Covid jab as they floated proposals to make them mandatory. Care minister Helen Whately said: ""If you don't want to get vaccinated, how can it be right to continue to look after people who are really vulnerable from Covid?"" Vaccination will become a legal requirement for care home staff from November and it could be widened to cover everyone who comes into contact with patients. But unions warned staff will walk out, worsening shortages, if colleagues are compelled to be jabbed. Sara Gorton, of Unison, said: ""The key to convincing hesitant staff is persuasion, not force."" So far 88 per cent of NHS staff have been double-jabbed and 92 per cent have had one dose — higher rates than the public. But only 69 per cent of care workers have been double-jabbed with 82 per cent on one dose — lower than the public. COVID cases shot up in schoolkids when term started last week — but they are still stable overall. Figures show the infection rate in ten to 19-year-olds in England surged 42 per cent in the seven days to 681 per 100,000 people. The UK yesterday recorded 38,013 more cases and another 167 deaths. Covid-19 vaccinations are estimated to have directly averted 112,300 deaths in England, according to data from Public Health England and Cambridge University.",Real Sun,799.0
72,Real,The Sun,"BORIS Johnson today unveiled a massive raid on shareholder profits to raise billions for the NHS and Social Care. The PM today revealed a 1.25 per cent hike to National Insurance contributors from workers and firms today - as well as a new tax assault on investors. Cabinet sources say people paid in dividends will still be allowed a personal allowance before the the new tax hike kicks in, with only the most profitable investors affected. The PM and Chancellor Rishi Sunak will hope the move will offset claims that their raid on workers' wages is unfair as well as raise additional billions every year to plug fiscal black-holes in both the NHS and social care budgets. Boris said in his Commons statement: ""We will be asking better-off business owners and investors to make a fair contribution too. ""In fact, the highest earning 14 per cent will pay around half the revenues, no-one earning less than £9,568 will pay a penny, and the majority of small businesses will be protected, with 40 per cent of all businesses paying nothing at all."" But the move is likely to trigger an angry backlash from Tory MPs who claim to be the party of capitalism. Boris Johnson today broke a key election promise by hitting millions with more taxes.",Real Sun,216.0
73,Real,The Sun,"BORIS Johnson will today warn the NHS will never recover from Covid without tax rises as he shreds his manifesto promise not to hike National Insurance. In a bid to see off a massive Tory rebellion, the PM will vow to use the cash to increase current NHS capacity by a million treatments a year to try to shift the pandemic backlog by the next Election. His allies claim that boost will see a 10 per cent increase in current capacity in the next two to three years as BoJo vowed not to ""duck the tough decisions needed to get NHS patients the treatment they need."" A 1.25 per cent raise to NI contributions from both workers and firms will then be used to fund the ""catastrophic"" black hole in social care - with care costs capped at £80,000 a year. The point at which the elderly begin to pay for their own care will also be significantly raised. Last night Downing Street said: ""Under the current care system, anyone with assets over £23,350 pays for their care in full. ""This can lead to spiralling costs and the complete liquidation of someone's assets. Around one in seven people now pay over £100,000, and there is an unfair and often catastrophic discrepancy between someone who has dementia paying for their care in full, while someone cared for by the NHS receives care for free."" No10 also claimed 5 million people are still waiting for surgery and treatment since the virus hit and that could more than double to 13 million without an urgent cash injection. Mr Johnson will use a press conference today flanked by the Health Secretary and Chancellor - who signed off the plan over the weekend - to insist Covid has ""changed the NHS for the foreseeable future"". Last night the PM said: ""The NHS is the pride of our United Kingdom, but it has been put under enormous strain by the pandemic. We cannot expect it to recover alone. ""We must act now to ensure the health and care system has the long term funding it needs to continue fighting COVID and start tackling the backlogs, and end the injustice of catastrophic costs for social care."" But his plan has been hit by a torrent of criticism as the retired do not pay National Insurance and it disproportionately hits the lower paid. Senior Tory MP John Redwood branded the plan stupid and one of the PM's closest friends warns in today's Sun he must think again on his ""inherently unfair"" raid. Former Northern Powerhouse Minister Jake Berry writes: ""Young working families who struggle to pay their mortgages and put shoes on their kids' feet will be paying for the care of wealthy pensioners who don't pay NI. That's inherently unfair. It's the opposite of this Government's levelling up agenda. It's levelling down."" Mr Johnson was swept to his landmark 2019 election win on a pledge not to touch NICs, but last night ministers insisted the ""unforeseeable"" pandemic had left the manifesto in tatters. Mr Johnson is also expected to announce a temporary pause on his pensions triple lock promise - to stop pensioners getting a whopping 8 per cent rise this year. But the move will require legislation setting up a major parliamentary showdown. Last night Mr Sunak told Tory MPs there was a ""tough autumn ahead"" with ""disagreements"" coming. However, Red Wall poster girl Dehenna Davison, who turned Bishop Auckland in Durham blue, blasted: ""I was elected on this manifesto… we absolutely cannot go against this manifesto"". And Rother Valley MP Alex Stafford warned: ""Conservatives should not be raising taxes willy nilly."" That's inherently unfair. It's the opposite of this Government's levelling up agenda. It's levelling down. Yesterday Mr Berry - who left the Cabinet last year- also turned fire on Health Secretary - accusing him of being a tax rise turn coat. The Northern Tory ringleader hit out: ""When I was sat round that Cabinet table and Sajid Javid was the chancellor of the exchequer writing the Conservative Party manifesto, he was a great believer in not racking up the jobs tax and I just wonder why he's had a sort of Damascene conversion when becoming the Health Secretary to seeing the jobs tax as the way forward."" Mr Johnson's Cabinet will meet tomorrow to rubber stamp the plan - with as many as five said to be privately opposed to the tax raid. There was also anger last night that the majority of ministers were kept in the dark about the details ahead of the meeting. One branded the plan ""electoral roulette"" after Commons leader Jacob Rees-Mogg warned publicly that voters have long memories for broken promises over tax. In a bid to quell Tory anger at the move, both Mr Johnson and Mr Sunak pressed the flesh last night in person at a party welcoming MPs back to Westminster after the summer break and lockdown. Mr Sunak made a public show of loyalty to the PM and urged all Tories to get behind Mr Johnson, saying: ""I, like all of you, take our lead from the Prime Minister. The leader of our party and the country. We owe him our support and loyalty.""",Real Sun,870.0
